date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:55:21	288076/288076	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Jan%202020%2018:18:23%20GMT	https://www.fbadsformula.co/launch-page-1	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/launch-page-1.html	(from )
14:55:22	168/168	---MCZ	200	added ('OK')	text/plain	etag:W/%225e2bc4d8-c6%22	https://www.fbadsformula.co/robots.txt		(from )
14:55:24	435264/435264	---MCZ	200	added ('OK')	text/css	etag:W/%225e2b96c5-6a440%22	http://www.fbadsformula.co/assets/lander.css	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/assets/lander.css	(from https://www.fbadsformula.co/launch-page-1)
14:55:27	55967/55967	---MCZ	200	added ('OK')	text/css	etag:W/%22dbf9d822cefe851ba6f66e1ad57e8987%22	https://use.fontawesome.com/releases/v5.9.0/css/all.css	C:/My%20Web%20Sites/funnel%20copy/use.fontawesome.com/releases/v5.9.0/css/all.css	(from https://www.fbadsformula.co/launch-page-1)
14:55:32	26625/26625	---MCZ	200	added ('OK')	text/css	etag:W/%22e140a7d32f343530f016095df3cc2ae4%22	https://use.fontawesome.com/releases/v5.9.0/css/v4-shims.css	C:/My%20Web%20Sites/funnel%20copy/use.fontawesome.com/releases/v5.9.0/css/v4-shims.css	(from https://www.fbadsformula.co/launch-page-1)
14:55:32	4947/4947	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225d09133e-1353%22	http://www.fbadsformula.co/assets/userevents/application.js	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/assets/userevents/application.js	(from https://www.fbadsformula.co/launch-page-1)
14:55:33	128769/128769	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2027%20Jan%202020%2009:25:30%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/funnel%20copy/connect.facebook.net/en_US/fbevents.js	(from https://www.fbadsformula.co/launch-page-1)
14:55:35	13365/13365	---M--	200	added ('OK')	image/png	etag:%22472a0980312fc7fabfda5eb71686d808%22	http://www.fbadsformula.co/hosted/images/f8/046f70639411e8b4077d2e81638dab/MotherFunnelSecrets_Ww.png	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/hosted/images/f8/046f70639411e8b4077d2e81638dab/MotherFunnelSecrets_Ww.png	(from https://www.fbadsformula.co/launch-page-1)
14:55:37	17669/17669	---M--	200	added ('OK')	image/png	etag:%220beada115269db549be8ae354f6a1807%22	http://www.fbadsformula.co/hosted/images/a7/09d130c7fa11e89df2d7e5a3989ffe/glossy-close.png	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/hosted/images/a7/09d130c7fa11e89df2d7e5a3989ffe/glossy-close.png	(from https://www.fbadsformula.co/launch-page-1)
14:55:38	16889/16889	---M--	200	added ('OK')	image/png	etag:%2235c6583ef3f2c9a9293e26ccc3660b41%22	http://www.fbadsformula.co/hosted/images/44/13ebc98d08441ebbc1ed8ce2e78f07/download-17-.png	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/hosted/images/44/13ebc98d08441ebbc1ed8ce2e78f07/download-17-.png	(from https://www.fbadsformula.co/launch-page-1)
